x,y,street_count,geometry,out_degree,in_degree
-8.6500167,41.1597645,3,POINT (-8.6500167 41.1597645),2,1
-8.6483137,41.1590659,3,POINT (-8.648313699999999 41.1590659),1,2
-8.6490693,41.1601343,3,POINT (-8.649069300000001 41.1601343),2,1
-8.64944,41.1581908,3,POINT (-8.64944 41.1581908),2,2
-8.6494794,41.1584634,3,POINT (-8.649479400000001 41.1584634),2,1
-8.6501374,41.1601103,3,POINT (-8.6501374 41.1601103),1,2
-8.6485732,41.1564243,3,POINT (-8.6485732 41.1564243),3,3
-8.64829,41.1644214,3,POINT (-8.648289999999999 41.1644214),2,1
-8.6491665,41.1644132,4,POINT (-8.6491665 41.1644132),1,3
-8.6475889,41.1644474,3,POINT (-8.647588900000001 41.1644474),2,1
-8.6489068,41.164332,3,POINT (-8.648906800000001 41.164332),2,1
-8.6485605,41.1637503,3,POINT (-8.6485605 41.1637503),1,2
-8.6494904,41.1632676,3,POINT (-8.649490399999999 41.1632676),2,2
-8.649894,41.1616708,3,POINT (-8.649894 41.1616708),2,2
-8.626429,41.1667835,5,POINT (-8.626429 41.1667835),3,3
-8.6325164,41.1620091,4,POINT (-8.6325164 41.1620091),2,2
-8.62909,41.1636071,3,POINT (-8.62909 41.1636071),1,2
-8.6274598,41.1635081,4,POINT (-8.6274598 41.1635081),2,2
-8.6248028,41.1633519,5,POINT (-8.624802799999999 41.1633519),3,3
-8.6208599,41.1627307,4,POINT (-8.620859899999999 41.1627307),3,3
-8.6278359,41.1758929,3,POINT (-8.627835899999999 41.1758929),2,3
-8.6276431,41.1751065,3,POINT (-8.6276431 41.1751065),3,3
-8.6267046,41.1732552,3,POINT (-8.6267046 41.1732552),3,3
-8.6254713,41.1684558,3,POINT (-8.625471299999999 41.1684558),3,3
-8.6246623,41.1598688,4,POINT (-8.624662300000001 41.1598688),4,4
-8.6256211,41.1691499,3,POINT (-8.6256211 41.1691499),3,2
-8.6044477,41.1603666,4,POINT (-8.6044477 41.1603666),2,2
-8.6027699,41.1598906,4,POINT (-8.6027699 41.1598906),1,3
-8.6010628,41.1594394,4,POINT (-8.601062799999999 41.1594394),3,3
-8.6164669,41.1623639,4,POINT (-8.616466900000001 41.1623639),2,2
-8.6113581,41.161719,4,POINT (-8.6113581 41.161719),3,4
-8.6095946,41.1614797,4,POINT (-8.609594599999999 41.1614797),3,3
-8.607491,41.1610402,4,POINT (-8.607491 41.1610402),2,2
-8.6052113,41.1605885,4,POINT (-8.605211300000001 41.1605885),2,2
-8.6040169,41.1618277,3,POINT (-8.6040169 41.1618277),1,2
-8.5946309,41.1563482,3,POINT (-8.5946309 41.1563482),2,3
-8.6004404,41.1494046,3,POINT (-8.6004404 41.1494046),2,1
-8.6002415,41.1505026,3,POINT (-8.600241499999999 41.1505026),2,1
-8.6122531,41.1580584,3,POINT (-8.6122531 41.1580584),2,2
-8.6126514,41.1573409,3,POINT (-8.612651400000001 41.1573409),2,2
-8.614101,41.1776249,4,POINT (-8.614101 41.1776249),3,4
-8.6140974,41.1763742,3,POINT (-8.6140974 41.1763742),3,2
-8.6138847,41.1757348,3,POINT (-8.6138847 41.1757348),3,3
-8.6136372,41.17505,3,POINT (-8.613637199999999 41.17505),2,2
-8.6132806,41.1740298,3,POINT (-8.6132806 41.1740298),2,2
-8.6128402,41.1710753,3,POINT (-8.612840200000001 41.1710753),3,2
-8.6129333,41.170369,3,POINT (-8.6129333 41.170369),3,2
-8.6117522,41.167014,3,POINT (-8.6117522 41.167014),2,3
-8.6109795,41.1649768,3,POINT (-8.610979499999999 41.1649768),3,2
-8.6127436,41.1718292,3,POINT (-8.6127436 41.1718292),3,3
-8.6126669,41.1747912,3,POINT (-8.612666900000001 41.1747912),2,1
-8.6141709,41.1746525,3,POINT (-8.6141709 41.1746525),1,2
-8.6140041,41.1741811,3,POINT (-8.614004100000001 41.1741811),2,1
-8.6127512,41.1742225,3,POINT (-8.6127512 41.1742225),1,2
-8.6100682,41.1741101,3,POINT (-8.610068200000001 41.1741101),1,2
-8.6057642,41.1714409,4,POINT (-8.605764199999999 41.1714409),2,2
-8.6074554,41.1730101,3,POINT (-8.607455399999999 41.1730101),1,2
-8.6069436,41.1728529,3,POINT (-8.606943599999999 41.1728529),1,2
-8.6056814,41.1731625,4,POINT (-8.6056814 41.1731625),3,2
-8.6053176,41.1725805,3,POINT (-8.605317599999999 41.1725805),2,1
-8.6039516,41.1713109,3,POINT (-8.6039516 41.1713109),1,2
-8.6029104,41.1713619,3,POINT (-8.602910400000001 41.1713619),1,2
-8.604757,41.1721787,3,POINT (-8.604756999999999 41.1721787),1,2
-8.6031044,41.1717809,3,POINT (-8.603104399999999 41.1717809),2,1
-8.6043711,41.1725769,3,POINT (-8.6043711 41.1725769),1,2
-8.6058176,41.1736115,4,POINT (-8.6058176 41.1736115),3,3
-8.6136444,41.1747932,4,POINT (-8.6136444 41.1747932),2,2
-8.6134812,41.174246,4,POINT (-8.613481200000001 41.174246),2,2
-8.6132755,41.1742474,4,POINT (-8.6132755 41.1742474),2,2
-8.6134653,41.1748373,4,POINT (-8.6134653 41.1748373),2,2
-8.5821775,41.1803973,3,POINT (-8.5821775 41.1803973),1,1
-8.5818418,41.1802754,3,POINT (-8.581841799999999 41.1802754),2,1
-8.5705712,41.1666721,3,POINT (-8.5705712 41.1666721),2,1
-8.5706385,41.166486,3,POINT (-8.570638499999999 41.166486),1,2
-8.5707254,41.1659188,3,POINT (-8.570725400000001 41.1659188),2,2
-8.5712544,41.1648696,3,POINT (-8.571254400000001 41.1648696),3,2
-8.5728588,41.1631607,3,POINT (-8.572858800000001 41.1631607),2,2
-8.5759967,41.1616471,3,POINT (-8.575996699999999 41.1616471),2,2
-8.5764055,41.1613361,3,POINT (-8.5764055 41.1613361),2,2
-8.5792965,41.1597934,3,POINT (-8.5792965 41.1597934),2,1
-8.5805276,41.1593437,3,POINT (-8.5805276 41.1593437),2,2
-8.5806482,41.1593488,3,POINT (-8.580648200000001 41.1593488),3,2
-8.5829437,41.1588866,3,POINT (-8.5829437 41.1588866),3,3
-8.5859858,41.1576704,3,POINT (-8.5859858 41.1576704),2,1
-8.5938657,41.1560823,4,POINT (-8.5938657 41.1560823),2,3
-8.650277,41.1537076,4,POINT (-8.650277000000001 41.1537076),2,2
-8.6507378,41.1533918,3,POINT (-8.6507378 41.1533918),2,2
-8.6516768,41.1524811,3,POINT (-8.651676800000001 41.1524811),3,3
-8.6559524,41.1517135,3,POINT (-8.6559524 41.1517135),2,3
-8.6573042,41.1511072,3,POINT (-8.6573042 41.1511072),2,3
-8.6606128,41.1505047,3,POINT (-8.660612799999999 41.1505047),2,3
-8.6628412,41.1504431,3,POINT (-8.662841200000001 41.1504431),2,3
-8.6693609,41.152409,3,POINT (-8.669360899999999 41.152409),3,3
-8.6498529,41.1541883,3,POINT (-8.649852900000001 41.1541883),1,2
-8.6438478,41.1544954,3,POINT (-8.6438478 41.1544954),3,2
-8.6271726,41.1523893,3,POINT (-8.6271726 41.1523893),3,2
-8.628743,41.1524782,4,POINT (-8.628743 41.1524782),4,3
-8.6306176,41.1525836,4,POINT (-8.630617600000001 41.1525836),3,3
-8.6261136,41.1523141,4,POINT (-8.6261136 41.1523141),3,3
-8.6245762,41.1527713,3,POINT (-8.6245762 41.1527713),1,2
-8.6241792,41.1481991,3,POINT (-8.6241792 41.1481991),3,2
-8.6259533,41.1508542,3,POINT (-8.625953300000001 41.1508542),3,3
-8.6201824,41.1460307,4,POINT (-8.620182399999999 41.1460307),3,2
-8.617693,41.1463677,3,POINT (-8.617692999999999 41.1463677),2,2
-8.6135435,41.145891,2,POINT (-8.6135435 41.145891),0,2
-8.6099838,41.157254,4,POINT (-8.6099838 41.157254),3,3
